AnuncioEnderecoCep;FreeformAddress;StreetNumber;StreetName;MunicipalitySubdivision;Municipality;CountrySecondarySubdivision;CountrySubdivision;Country;CountryCode;CountryCodeISO3;PostalCode;Lat;Lon;Score;Type
20021040;Avenida Augusto Severo, 20021-040, Rio de Janeiro;;Avenida Augusto Severo;Glória;Rio de Janeiro;;Rio de Janeiro;Brasil;BR;BRA;20021;-22,91748;-43,17645;2.3055999279;Street
20230000;Ladeira Frei Orlando, 20230-000, Rio de Janeiro;;Ladeira Frei Orlando;Santa Teresa;Rio de Janeiro;;Rio de Janeiro;Brasil;BR;BRA;20230;-22,9127;-43,19336;2.3055999279;Street
20230030;Ladeira do Castro, 20230-030, Rio de Janeiro;;Ladeira do Castro;Santa Teresa;Rio de Janeiro;;Rio de Janeiro;Brasil;BR;BRA;20230;-22,91834;-43,18649;2.3055999279;Street
20230080;Rua Francisco Muratori, 20230-080, Rio de Janeiro;;Rua Francisco Muratori;Santa Teresa;Rio de Janeiro;;Rio de Janeiro;Brasil;BR;BRA;20230;-22,91563;-43,18139;2.3055999279;Street
20230100;Rua Sílvio Romero, 20230-100, Rio de Janeiro;;Rua Sílvio Romero;Santa Teresa;Rio de Janeiro;;Rio de Janeiro;Brasil;BR;BRA;20230;-22,91492;-43,18185;2.3055999279;Street
20231070;Rua Teresópolis, 20231-070, Rio de Janeiro;;Rua Teresópolis;Santa Teresa;Rio de Janeiro;;Rio de Janeiro;Brasil;BR;BRA;20231;-22,91889;-43,18433;2.3055999279;Street
20240012;Rua Cardeal Dom Sebastião Leme, Rio de Janeiro;;Rua Cardeal Dom Sebastião Leme;Santa Teresa;Rio de Janeiro;;Rio de Janeiro;Brasil;BR;BRA;20240;-22,9172;-43,18908;2.3055999279;Street
20240013;Rua Cardeal Dom Sebastião Leme, Rio de Janeiro;;Rua Cardeal Dom Sebastião Leme;Santa Teresa;Rio de Janeiro;;Rio de Janeiro;Brasil;BR;BRA;20240;-22,9172;-43,18908;2.3055999279;Street
20240014;Rua Cardeal Dom Sebastião Leme, Rio de Janeiro;;Rua Cardeal Dom Sebastião Leme;Santa Teresa;Rio de Janeiro;;Rio de Janeiro;Brasil;BR;BRA;20240;-22,9172;-43,18908;2.3055999279;Street
20240015;Rua Cardeal Dom Sebastião Leme, Rio de Janeiro;;Rua Cardeal Dom Sebastião Leme;Santa Teresa;Rio de Janeiro;;Rio de Janeiro;Brasil;BR;BRA;20240;-22,9172;-43,18908;2.3055999279;Street
20240020;Rua Costa Bastos, 20240-020, Rio de Janeiro;;Rua Costa Bastos;Santa Teresa;Rio de Janeiro;;Rio de Janeiro;Brasil;BR;BRA;20240;-22,91597;-43,18991;2.3055999279;Street
20240060;Rua Progresso, 20240-060, Rio de Janeiro;;Rua Progresso;Santa Teresa;Rio de Janeiro;;Rio de Janeiro;Brasil;BR;BRA;20240;-22,91705;-43,19036;2.3055999279;Street
20240070;Rua Santo Alfredo, 20240-070, Rio de Janeiro;;Rua Santo Alfredo;Santa Teresa;Rio de Janeiro;;Rio de Janeiro;Brasil;BR;BRA;20240;-22,91626;-43,19257;2.3055999279;Street
20240090;Rua Aarão Reis, 20240-090, Rio de Janeiro;;Rua Aarão Reis;Santa Teresa;Rio de Janeiro;;Rio de Janeiro;Brasil;BR;BRA;20240;-22,9223;-43,19061;2.3055999279;Street
20240100;Rua Ocidental, Rio de Janeiro;;Rua Ocidental;Santa Teresa;Rio de Janeiro;;Rio de Janeiro;Brasil;BR;BRA;20240;-22,92389;-43,19166;2.3055999279;Street
20240130;Rua do Oriente, 20240-130, Rio de Janeiro;;Rua do Oriente;Santa Teresa;Rio de Janeiro;;Rio de Janeiro;Brasil;BR;BRA;20240;-22,91939;-43,19037;2.3055999279;Street
20240140;Rua Padre Miguelinho, 20240-140, Rio de Janeiro;;Rua Padre Miguelinho;Santa Teresa;Rio de Janeiro;;Rio de Janeiro;Brasil;BR;BRA;20240;-22,91752;-43,19269;2.3055999279;Street
20240192;Rua Monte Alegre, Rio de Janeiro;;Rua Monte Alegre;Santa Teresa;Rio de Janeiro;;Rio de Janeiro;Brasil;BR;BRA;20240;-22,91987;-43,18822;2.3055999279;Street
20240193;Rua Monte Alegre, Rio de Janeiro;;Rua Monte Alegre;Santa Teresa;Rio de Janeiro;;Rio de Janeiro;Brasil;BR;BRA;20240;-22,91987;-43,18822;2.3055999279;Street
20240195;Rua Monte Alegre, Rio de Janeiro;;Rua Monte Alegre;Santa Teresa;Rio de Janeiro;;Rio de Janeiro;Brasil;BR;BRA;20240;-22,91987;-43,18822;2.3055999279;Street
20240210;Rua Áurea, 20240-210, Rio de Janeiro;;Rua Áurea;Santa Teresa;Rio de Janeiro;;Rio de Janeiro;Brasil;BR;BRA;20240;-22,92214;-43,18887;2.3055999279;Street
